,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_num_leaves,param_n_jobs,param_min_child_samples,param_learning_rate,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,2.4640522956848145,0.38797444098267153,0.4912860870361328,0.003111846149599531,64,21,-1,15,0.1,"{'random_state': 64, 'num_leaves': 21, 'n_jobs': -1, 'min_child_samples': 15, 'learning_rate': 0.1}",0.6386558945955778,0.6419949189781134,0.6439477681127993,0.6413129982935336,0.645887879679043,0.6423598919318134,0.002446092235562198,3,0.739875,0.738875,0.740375,0.738125,0.740375,0.7395250000000001,0.0008888194417315548,4
1,2.389692783355713,0.03149824462760419,0.514031171798706,0.003585316611911442,64,51,-1,15,0.1,"{'random_state': 64, 'num_leaves': 51, 'n_jobs': -1, 'min_child_samples': 15, 'learning_rate': 0.1}",0.6375432106058533,0.6421919947528575,0.638215553411384,0.6392813208562097,0.6419889947022698,0.6398442148657149,0.0019170894266269853,5,0.740375,0.74025,0.737125,0.736125,0.738375,0.7384499999999999,0.0016800297616411247,5
2,2.508994722366333,0.012746368326064985,0.5134198665618896,0.004194512748302256,64,71,-1,10,1,"{'random_state': 64, 'num_leaves': 71, 'n_jobs': -1, 'min_child_samples': 10, 'learning_rate': 1}",0.5742176265966724,0.5942817556372221,0.5821364748119413,0.5744614157996804,0.5854107013567105,0.5821015948404453,0.007481136419388452,9,0.666375,0.6805,0.674625,0.66575,0.671875,0.671825,0.005471859830076061,10
3,2.223101854324341,0.009905973612952618,0.4813060283660889,0.0012058310382654662,64,11,-1,10,0.1,"{'random_state': 64, 'num_leaves': 11, 'n_jobs': -1, 'min_child_samples': 10, 'learning_rate': 0.1}",0.6384396946913767,0.6384005550535472,0.6406820799046646,0.6427051966651438,0.643909134150695,0.6408273320930855,0.0022196863126661597,4,0.740125,0.738875,0.74075,0.739125,0.73975,0.7397250000000001,0.0006773108592072205,2
4,1.8940440177917481,0.004607704744906618,0.47451467514038087,0.0017259030559897033,64,11,-1,30,1,"{'random_state': 64, 'num_leaves': 11, 'n_jobs': -1, 'min_child_samples': 30, 'learning_rate': 1}",0.5935447473431034,0.6150540447088112,0.6235317064695716,0.611358158209504,0.6075193789149753,0.610201607129193,0.009871379188506701,8,0.70675,0.71225,0.713875,0.713375,0.712625,0.711775,0.0025756067246379124,7
5,2.0735846519470216,0.011733325660999853,0.5014485836029052,0.0015253881276153314,64,31,-1,30,0.1,"{'random_state': 64, 'num_leaves': 31, 'n_jobs': -1, 'min_child_samples': 30, 'learning_rate': 0.1}",0.6378177553117876,0.6439287250177892,0.6470004167601602,0.6423662054808601,0.6453485092007493,0.6432923223542693,0.0031372425340292494,1,0.740875,0.73875,0.7405,0.73725,0.7405,0.739575,0.0013774977313956054,3
6,2.097286558151245,0.0038640695801358677,0.4976900577545166,0.0036992021618558277,64,51,-1,30,1,"{'random_state': 64, 'num_leaves': 51, 'n_jobs': -1, 'min_child_samples': 30, 'learning_rate': 1}",0.5711912331100916,0.5871668501691716,0.584248718703585,0.5691132259736958,0.5913608801903668,0.5806161816293821,0.00886231092309488,10,0.67225,0.672875,0.6755,0.666625,0.681875,0.6738249999999999,0.0049564352109151945,9
7,2.116427707672119,0.011026095913831477,0.4929218292236328,0.0011596364111904325,64,21,-1,20,0.1,"{'random_state': 64, 'num_leaves': 21, 'n_jobs': -1, 'min_child_samples': 20, 'learning_rate': 0.1}",0.6380378043522142,0.6415529976222062,0.6448842426978443,0.6435033498684078,0.6449015466493048,0.6425759882379956,0.002578289469805195,2,0.741125,0.739,0.741125,0.738125,0.74025,0.7399250000000002,0.0011900630235411943,1
8,2.3830363273620607,0.013542385854729524,0.51840238571167,0.0030621553388814446,64,71,-1,20,0.1,"{'random_state': 64, 'num_leaves': 71, 'n_jobs': -1, 'min_child_samples': 20, 'learning_rate': 0.1}",0.635643763171643,0.640455264487926,0.6390894288862358,0.6369150294521897,0.6423536817749845,0.6388914335545958,0.0024052221590237085,6,0.740625,0.735125,0.73825,0.735,0.739875,0.737775,0.0023444082409000166,6
9,1.9899816513061523,0.005274944881519745,0.4744318962097168,0.0028449862555662403,64,11,-1,20,1,"{'random_state': 64, 'num_leaves': 11, 'n_jobs': -1, 'min_child_samples': 20, 'learning_rate': 1}",0.6009905569748739,0.6160461089243966,0.6143607139815458,0.6063105778543268,0.6175456389781174,0.6110507193426521,0.006352476223481081,7,0.710375,0.713625,0.71275,0.706875,0.711875,0.7111000000000001,0.0023695991222145393,8
